site,ido,keido,train,hour,minute,rinji
28,36.10259398,136.2450978,down1,6,32,
29,36.10961302,136.2446097,down1,6,32,
30,36.11978558,136.2442193,down1,6,31,
31,36.12554155,136.2450002,down1,6,31,
32,36.1353967,136.2489048,down1,6,31,
33,36.15037415,136.2528094,down1,6,30,
34,36.16314214,136.250369,down1,6,29,
35,36.17858705,136.2451954,down1,6,28,
36,36.1894597,136.2416813,down1,6,28,
37,36.20513572,136.2361172,down1,6,27,
38,36.21466584,136.2348483,down1,6,27,
39,36.22513975,136.235922,down1,6,25,
40,36.25497877,136.252907,down1,6,23,
41,36.2996766,136.3170399,down1,6,20,
42,36.31713957,136.3385152,down1,6,19,
43,36.32083619,136.3508146,down1,6,19,
44,36.32382481,136.3657497,down1,6,17,
45,36.32421804,136.3843941,down1,6,16,
46,36.32799296,136.4002077,down1,6,15,
47,36.33860895,136.4188521,down1,6,14,
48,36.35228964,136.4327134,down1,6,13,
49,36.37147,136.4419868,down1,6,12,
50,36.38349462,136.4493079,down1,6,12,
51,36.39944599,136.4526268,down1,6,11,
52,36.40281336,136.4527486,down1,6,11,
53,36.41610106,136.4543839,down1,6,9,
54,36.42968959,136.4625835,down1,6,8,
55,36.44429656,136.4800566,down1,6,8,
56,36.46643737,136.493625,down1,6,6,
57,36.4834705,136.5069983,down1,6,6,
58,36.50842473,136.5352089,down1,6,4,
59,36.5253142,136.5629901,down1,6,3,
60,36.53535544,136.5850922,down1,6,2,
61,36.55283912,136.6205407,down1,6,1,
62,36.56697342,136.6395826,down1,6,0,
63,36.57823804,136.6475734,down1,6,0,
1,35.64539102,136.0768759,down2,7,27,
2,35.65929747,136.0950707,down2,7,26,
3,35.68497762,136.1070751,down2,7,25,
4,35.70317626,136.1146778,down2,7,24,
5,35.76586476,136.1402872,down2,7,21,
6,35.81812155,136.1610947,down2,7,19,
7,35.84958885,136.1775007,down2,7,18,
8,35.86416602,136.1882852,down2,7,17,
9,35.88516998,136.195938,down2,7,16,
10,35.89558136,136.1990239,down2,7,16,
11,35.90843921,136.20189,down2,7,16,
12,35.9223765,136.2070656,down2,7,15,
13,35.93421603,136.2145703,down2,7,15,
14,35.94846303,136.2176757,down2,7,14,
